Epoch,Train Accuracy,Validation Accuracy
1,0.18706467747688293,0.15396003425121307
2,0.3923714756965637,0.20281273126602173
3,0.4381426274776459,0.28053292632102966
4,0.4597014784812927,0.24426351487636566
5,0.487230509519577,0.4293116331100464
6,0.5097844004631042,0.5440414547920227
7,0.5237147808074951,0.5233160853385925
8,0.5383084416389465,0.5218356847763062
9,0.5568822622299194,0.5736491680145264
10,0.5625207424163818,0.5862324237823486
11,0.5711442828178406,0.6084381937980652
12,0.574461042881012,0.6010362505912781
13,0.5993366241455078,0.5692079663276672
14,0.5873963236808777,0.4663212299346924
15,0.5917081236839294,0.44263508915901184
16,0.5970149040222168,0.522575855255127
17,0.6036484241485596,0.6350851058959961
18,0.614262044429779,0.5854922533035278
19,0.618573784828186,0.640266478061676
20,0.6172471046447754,0.6395262479782104
21,0.6235489249229431,0.6365655064582825
22,0.6258706450462341,0.5795707106590271
23,0.6232172250747681,0.6691339612007141
24,0.6361525654792786,0.6284233927726746
25,0.6358209252357483,0.6609918475151062
26,0.6384742856025696,0.6669133901596069
27,0.6543946862220764,0.6543301343917847
28,0.6368159055709839,0.658771276473999
29,0.641791045665741,0.6447076201438904
30,0.644444465637207,0.6565507054328918
31,0.6514096260070801,0.6735751032829285
32,0.6507462859153748,0.6528497338294983
33,0.6583747863769531,0.6683937907218933
34,0.6570481061935425,0.6617320775985718
35,0.6573797464370728,0.6757957339286804
36,0.6550580263137817,0.6039970517158508
37,0.6630182266235352,0.674315333366394
38,0.6713101267814636,0.6720947623252869
39,0.6693200469017029,0.663952648639679
40,0.6683250665664673,0.5684677958488464
41,0.679270327091217,0.6898593902587891
42,0.6779435873031616,0.6898593902587891
43,0.6696517467498779,0.45077720284461975
44,0.6583747863769531,0.6313841342926025
45,0.6819236874580383,0.677276074886322
46,0.6902155876159668,0.6883789896965027
47,0.6932006478309631,0.6602516770362854
48,0.6908789277076721,0.71132493019104
49,0.6941956877708435,0.7142857313156128
50,0.6945273876190186,0.6891191601753235
51,0.7011608481407166,0.6913397312164307
52,0.7014925479888916,0.6905995607376099
53,0.7044776082038879,0.677276074886322
54,0.7004975080490112,0.7068837881088257
55,0.706799328327179,0.698001503944397
56,0.7011608481407166,0.6868985891342163
57,0.7081260085105896,0.732050359249115
58,0.70912104845047,0.7083641886711121
59,0.711442768573761,0.7335307002067566
60,0.704809308052063,0.7076239585876465
61,0.7157545685768127,0.7187268733978271
62,0.7240464091300964,0.6950407028198242
63,0.646434485912323,0.05107327923178673
64,0.2222222238779068,0.1872686892747879
65,0.3097844123840332,0.33382678031921387
66,0.37578773498535156,0.1517394483089447
67,0.4281923770904541,0.14877867698669434
68,0.4354892075061798,0.13767579197883606
69,0.3137645125389099,0.02590673603117466
70,0.36716416478157043,0.13767579197883606
71,0.42056384682655334,0.13027387857437134
72,0.45140960812568665,0.20725388824939728
73,0.4669983386993408,0.22871947288513184
74,0.48457711935043335,0.2316802442073822
75,0.4842454493045807,0.2960769832134247
76,0.4742951989173889,0.359733521938324
77,0.4865671694278717,0.4359733462333679
78,0.5127694606781006,0.5418208837509155
79,0.521061360836029,0.5366395115852356
80,0.5243781208992004,0.5122131705284119
81,0.5323383212089539,0.5588452816009521
82,0.539635181427002,0.5684677958488464
83,0.5502487421035767,0.5684677958488464
84,0.5592039823532104,0.5595855116844177
85,0.5714759826660156,0.5188748836517334
86,0.5694859027862549,0.5425610542297363
87,0.5704809427261353,0.5344189405441284
88,0.5688225626945496,0.5529237389564514
89,0.5777778029441833,0.5396003127098083
90,0.5820895433425903,0.553663969039917
91,0.5897181034088135,0.575129508972168
92,0.5757877230644226,0.5736491680145264
93,0.576782763004303,0.609178364276886
94,0.5946931838989258,0.6128793358802795
95,0.5936982035636902,0.5958549380302429
96,0.6003316640853882,0.5854922533035278
97,0.6019900441169739,0.5965951085090637
98,0.6026533842086792,0.5980755090713501
99,0.6175787448883057,0.6136195659637451
100,0.6106135845184326,0.6232420206069946
101,0.6238806247711182,0.6284233927726746
102,0.616252064704895,0.6343449354171753
103,0.6252073049545288,0.6528497338294983
104,0.6295190453529358,0.6484085917472839
105,0.6328358054161072,0.6454477906227112
106,0.6278607249259949,0.6535899043083191
107,0.6305140852928162,0.6506291627883911
108,0.6404643654823303,0.6572908759117126
109,0.6461028456687927,0.6484085917472839
110,0.644444465637207,0.6565507054328918
111,0.6424543857574463,0.6602516770362854
112,0.6424543857574463,0.6521095633506775
113,0.6470978260040283,0.655810534954071
114,0.6434494256973267,0.6595114469528198
115,0.6401326656341553,0.6180607080459595
116,0.6527363061904907,0.6750555038452148
117,0.6560530662536621,0.663952648639679
118,0.6640132665634155,0.6395262479782104
119,0.6560530662536621,0.6624722480773926
120,0.6699833869934082,0.6424870491027832
121,0.6577114462852478,0.6676535606384277
122,0.6600331664085388,0.6780163049697876
123,0.6640132665634155,0.6572908759117126
124,0.6295190453529358,0.3649148643016815
125,0.6540630459785461,0.6846780180931091
126,0.6527363061904907,0.6802368760108948
127,0.6673300266265869,0.6802368760108948
